epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,74.6603,0.77015,1.83373,1.33019,1.05801,0.84228,0.5,0.5372,0.30561,0.75989,0.4498,0.42938,0.25277,1.83728,2.73679,1.9196,1.53101,3.00476e-05,3.00476e-05,3.00476e-05
53,75.7536,0.64037,1.62897,0.77464,1.02143,0.84228,0.5,0.5372,0.30561,0.75989,0.4498,0.42938,0.25277,1.83728,2.73679,1.9196,1.53101,3.00242e-05,3.00242e-05,3.00242e-05
54,76.9627,0.61541,1.56153,0.78076,1.04248,0.84967,0.5,0.52608,0.30457,0.75653,0.44839,0.42973,0.26949,1.8307,2.73782,2.01757,1.53759,2.99772e-05,2.99772e-05,2.99772e-05
55,78.1148,0.64418,1.58887,1.04355,1.03149,0.84967,0.5,0.52608,0.30457,0.75653,0.44839,0.42973,0.26949,1.8307,2.73782,2.01757,1.53759,2.99066e-05,2.99066e-05,2.99066e-05
56,79.2081,0.46618,1.2528,0.83382,0.97666,0.84967,0.5,0.52608,0.30457,0.75653,0.44839,0.42973,0.26949,1.8307,2.73782,2.01757,1.53759,2.98125e-05,2.98125e-05,2.98125e-05
57,80.243,0.52703,1.51361,0.56225,0.92965,0.85866,0.5,0.52633,0.3131,0.76266,0.45057,0.45733,0.27501,1.81161,2.75287,2.02375,1.5401,2.96948e-05,2.96948e-05,2.96948e-05
58,81.2723,0.53584,1.46098,0.6901,1.06702,0.85866,0.5,0.52633,0.3131,0.76266,0.45057,0.45733,0.27501,1.81161,2.75287,2.02375,1.5401,2.95535e-05,2.95535e-05,2.95535e-05
59,82.351,0.76275,1.69496,0.83583,1.00417,0.85866,0.5,0.52633,0.3131,0.76266,0.45057,0.45733,0.27501,1.81161,2.75287,2.02375,1.5401,2.93887e-05,2.93887e-05,2.93887e-05
60,83.3989,0.70873,1.64017,1.03066,1.09447,0.86232,0.5,0.52635,0.31323,0.76675,0.44984,0.45747,0.27507,1.83271,2.75091,2.03898,1.54221,2.92003e-05,2.92003e-05,2.92003e-05
61,84.5385,0.63587,1.46289,0.77897,0.9462,0.86232,0.5,0.52635,0.31323,0.76675,0.44984,0.45747,0.27507,1.83271,2.75091,2.03898,1.54221,2.89884e-05,2.89884e-05,2.89884e-05
62,85.4513,0.46671,1.39708,0.61717,0.87833,0.86232,0.5,0.52635,0.31323,0.76675,0.44984,0.45747,0.27507,1.83271,2.75091,2.03898,1.54221,2.87529e-05,2.87529e-05,2.87529e-05
63,86.4303,0.62912,1.52871,1.01708,1.03503,0.88356,0.5,0.52698,0.31334,0.79454,0.44283,0.45798,0.2752,1.82069,2.74787,2.07317,1.54175,2.84938e-05,2.84938e-05,2.84938e-05
64,87.4737,0.50692,1.5762,0.566,0.93959,0.88356,0.5,0.52698,0.31334,0.79454,0.44283,0.45798,0.2752,1.82069,2.74787,2.07317,1.54175,2.82112e-05,2.82112e-05,2.82112e-05
65,88.5309,0.68777,1.42535,0.63135,1.01117,0.88356,0.5,0.52698,0.31334,0.79454,0.44283,0.45798,0.2752,1.82069,2.74787,2.07317,1.54175,2.7905e-05,2.7905e-05,2.7905e-05
66,89.51,0.67494,1.84887,1.15436,1.04833,0.88225,0.5,0.5271,0.31352,0.79629,0.44514,0.4583,0.27532,1.82846,2.75165,2.084,1.54434,2.75753e-05,2.75753e-05,2.75753e-05
67,90.5692,0.72112,1.80156,1.2826,1.15433,0.88225,0.5,0.5271,0.31352,0.79629,0.44514,0.4583,0.27532,1.82846,2.75165,2.084,1.54434,2.7222e-05,2.7222e-05,2.7222e-05
68,91.5938,0.77146,1.53295,0.8014,1.08241,0.88225,0.5,0.5271,0.31352,0.79629,0.44514,0.4583,0.27532,1.82846,2.75165,2.084,1.54434,2.68451e-05,2.68451e-05,2.68451e-05
69,92.8254,0.77154,1.57399,0.80787,1.06785,0.88223,0.4936,0.52476,0.31285,0.78216,0.45004,0.45891,0.27829,1.83082,2.77867,2.03822,1.54629,2.64447e-05,2.64447e-05,2.64447e-05
